2024-05-30 02:03:50 status half-installed libselinux1:amd64 3.0-1build2
2024-05-30 02:03:50 status unpacked libselinux1:amd64 3.0-1build2
2024-05-30 02:03:50 install libsemanage-common:all <none> 3.0-1build2
2024-05-30 02:03:50 status half-installed libsemanage-common:all 3.0-1build2
2024-05-30 02:03:50 status unpacked libsemanage-common:all 3.0-1build2
2024-05-30 02:03:50 install libsemanage1:amd64 <none> 3.0-1build2
2024-05-30 02:03:50 status half-installed libsemanage1:amd64 3.0-1build2
2024-05-30 02:03:50 status unpacked libsemanage1:amd64 3.0-1build2
2024-05-30 02:03:50 install libsepol1:amd64 <none> 3.0-1
2024-05-30 02:03:50 status half-installed libsepol1:amd64 3.0-1
2024-05-30 02:03:50 status unpacked libsepol1:amd64 3.0-1
2024-05-30 02:03:50 install libsmartcols1:amd64 <none> 2.34-0.1ubuntu9
2024-05-30 02:03:50 status half-installed libsmartcols1:amd64 2.34-0.1ubuntu9
2024-05-30 02:03:50 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9
2024-05-30 02:03:50 install libss2:amd64 <none> 1.45.5-2ubuntu1
2024-05-30 02:03:50 status half-installed libss2:amd64 1.45.5-2ubuntu1
2024-05-30 02:03:50 status unpacked libss2:amd64 1.45.5-2ubuntu1
2024-05-30 02:03:50 install libsystemd0:amd64 <none> 245.4-4ubuntu3
2024-05-30 02:03:50 status half-installed libsystemd0:amd64 245.4-4ubuntu3
2024-05-30 02:03:50 status unpacked libsystemd0:amd64 245.4-4ubuntu3
2024-05-30 02:03:50 install libtinfo6:amd64 <none> 6.2-0ubuntu2
2024-05-30 02:03:50 status half-installed libtinfo6:amd64 6.2-0ubuntu2
2024-05-30 02:03:50 status unpacked libtinfo6:amd64 6.2-0ubuntu2
2024-05-30 02:03:50 install libudev1:amd64 <none> 245.4-4ubuntu3
2024-05-30 02:03:50 status half-installed libudev1:amd64 245.4-4ubuntu3
2024-05-30 02:03:50 status unpacked libudev1:amd64 245.4-4ubuntu3
2024-05-30 02:03:50 install libuuid1:amd64 <none> 2.34-0.1ubuntu9
2024-05-30 02:03:50 status half-installed libuuid1:amd64 2.34-0.1ubuntu9
2024-05-30 02:03:50 status unpacked libuuid1:amd64 2.34-0.1ubuntu9
2024-05-30 02:03:50 install libzstd1:amd64 <none> 1.4.4+dfsg-3
2024-05-30 02:03:50 status half-installed libzstd1:amd64 1.4.4+dfsg-3
2024-05-30 02:03:50 status unpacked libzstd1:amd64 1.4.4+dfsg-3
2024-05-30 02:03:50 install login:amd64 <none> 1:4.8.1-1ubuntu5
2024-05-30 02:03:50 status half-installed login:amd64 1:4.8.1-1ubuntu5
2024-05-30 02:03:50 status unpacked login:amd64 1:4.8.1-1ubuntu5
2024-05-30 02:03:50 install logsave:amd64 <none> 1.45.5-2ubuntu1
2024-05-30 02:03:50 status half-installed logsave:amd64 1.45.5-2ubuntu1
2024-05-30 02:03:50 status unpacked logsave:amd64 1.45.5-2ubuntu1
2024-05-30 02:03:51 install lsb-base:all <none> 11.1.0ubuntu2
2024-05-30 02:03:51 status half-installed lsb-base:all 11.1.0ubuntu2
2024-05-30 02:03:51 status unpacked lsb-base:all 11.1.0ubuntu2
2024-05-30 02:03:51 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2024-05-30 02:03:51 status half-configured mawk:amd64 1.3.4.20200120-2
2024-05-30 02:03:51 status unpacked mawk:amd64 1.3.4.20200120-2
2024-05-30 02:03:51 status half-installed mawk:amd64 1.3.4.20200120-2
2024-05-30 02:03:51 status unpacked mawk:amd64 1.3.4.20200120-2
2024-05-30 02:03:51 install mount:amd64 <none> 2.34-0.1ubuntu9
